filename,extension,path,md5,console
Fantasy Zone (World) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Fantasy Zone (World) (Beta).zip,91969163de463a576d33f19a50695c3f,mastersystem
"Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil) (Beta).zip",91e53fdbcd2715419a751633cc3475bc,mastersystem
"Michael Jackson's Moonwalker (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Michael Jackson's Moonwalker (USA, Europe, Brazil) (Beta).zip",7448a984f8ab37d5e7d117507f1c4d57,mastersystem
"Action Fighter (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Action Fighter (USA, Europe, Brazil) (Rev 1).zip",c953d145415c6cab204d27d126344dd8,mastersystem
"Alien Syndrome (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alien Syndrome (USA, Europe, Brazil) (Beta).zip",5a3a24d1a8bfc924f8b53e56089269db,mastersystem
"Time Soldiers (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Time Soldiers (USA, Europe, Brazil).zip",d737c179f051726524bbe5bca5b24a1c,mastersystem
Alf (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Alf (USA).zip,907ca3d2d3c0f4854e51cfde880c842c,mastersystem
Montezuma's Revenge featuring Panama Joe (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Montezuma's Revenge featuring Panama Joe (USA).zip,f96687f818ce65a0f6fd4412bcc42864,mastersystem
"Fantasy Zone - The Maze (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Fantasy Zone - The Maze (USA, Europe, Brazil).zip",a50a5681743f266404bf11d7b81f12cf,mastersystem
"Assault City (USA, Europe, Brazil) (Light Phaser).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Assault City (USA, Europe, Brazil) (Light Phaser).zip",ed83a2dc24c6237b728cab5d3223b052,mastersystem
"Wonder Boy in Monster Land (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wonder Boy in Monster Land (USA, Europe).zip",3033512c8f61f014759b05c2b67f22c0,mastersystem
3D Gunner (USA) (Demo).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/3D Gunner (USA) (Demo).zip,8d0306714974c73689df514318030581,mastersystem
"Ys - The Vanished Omens ~ Y's (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ys - The Vanished Omens ~ Y's (USA, Europe, Brazil).zip",a6e90d91a14163a0fc364c69c04db082,mastersystem
"F-16 Fighting Falcon ~ F-16 Fighter ~ F16 Falcon Fighter (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/F-16 Fighting Falcon ~ F-16 Fighter ~ F16 Falcon Fighter (USA, Europe, Brazil).zip",6890babd5b048ac2ad938c38fc821896,mastersystem
Silver Valley.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Silver Valley.zip,f5cc5eacf31729feb57e3019999fd5e9,mastersystem
"Columns ~ Shapes and Columns (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Columns ~ Shapes and Columns (USA, Europe, Brazil).zip",7c4a21e0c5b18221c70cd3b05fed6229,mastersystem
"Rampage (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Rampage (USA, Europe, Brazil).zip",f922badf09a4a3020c8fe542263c9617,mastersystem
"Alex Kidd - High-Tech World (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd - High-Tech World (USA, Europe, Brazil) (Beta).zip",85df225ac5a25a1756d6e47179f9502a,mastersystem
Zillion II - The Tri Formation (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Zillion II - The Tri Formation (World).zip,8a5215d9f93a967ae711e867312d2ad3,mastersystem
R-Type (World) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/R-Type (World) (Beta).zip,a42eb25bc3e5a693dcb722c18ba93ef0,mastersystem
Bruce Lee.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Bruce Lee.zip,d608a9462a46a8441a010800643cfb30,mastersystem
"Missile Defense 3-D (USA, Europe, Brazil) (Sample).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Missile Defense 3-D (USA, Europe, Brazil) (Sample).zip",1f1f622dc117f5be8ee555d347f56175,mastersystem
OutRun (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/OutRun (World).zip,02d97bb90cae61e5d2a4db94a9085188,mastersystem
Alex Kidd in Miracle World 2 (World) (Unl).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd in Miracle World 2 (World) (Unl).zip,ffbbd736b145383d04c17ea2a808c043,mastersystem
"Golden Axe Warrior (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Golden Axe Warrior (USA, Europe, Brazil).zip",080fb3f960e6100a92786e09307131e2,mastersystem
Aztec Adventure ~ Nazca '88 - The Golden Road to Paradise (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Aztec Adventure ~ Nazca '88 - The Golden Road to Paradise (World).zip,cd9a487c7eae418fd0d66e9913c750ad,mastersystem
"Alien Syndrome (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alien Syndrome (USA, Europe, Brazil).zip",4b70ee8f7de3715c0bc34fde93aa5a4d,mastersystem
Pat Riley Basketball (USA) (Proto).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Pat Riley Basketball (USA) (Proto).zip,762e5bfd347b8f438d30f1c533011cba,mastersystem
After Burner (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/After Burner (World).zip,0905e4867b20c1562acbcc5617d24011,mastersystem
World Soccer ~ Great Soccer ~ Super Futebol (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/World Soccer ~ Great Soccer ~ Super Futebol (World).zip,c803fcddbb8ef875955b4a93b89e9299,mastersystem
